,port,state,value,year
149,Cape Vincent,New York,28738,2018
150,Pembina,North Dakota,1499935,2018
151,Portal,North Dakota,734412,2018
152,Neche,North Dakota,116186,2018
153,Sarles,North Dakota,13554,2018
154,Hansboro,North Dakota,20758,2018
155,Walhalla,North Dakota,119953,2018
156,Antler,North Dakota,27719,2018
157,Noonan,North Dakota,74087,2018
158,Westhope,North Dakota,42463,2018
159,Fortuna,North Dakota,44100,2018
160,Northgate,North Dakota,74326,2018
161,Sherwood,North Dakota,55319,2018
162,Ambrose,North Dakota,3307,2018
163,Dunseith,North Dakota,227493,2018
164,Carbury,North Dakota,41742,2018
165,Maida,North Dakota,23803,2018
166,St. John,North Dakota,36100,2018
167,Hannah,North Dakota,2706,2018
168,Progreso,Texas,5236568,2018
169,Roma,Texas,2546333,2018
170,Boquillas,Texas,11499,2018
171,Rio Grande City,Texas,1442371,2018
172,Del Rio,Texas,5124690,2018
173,Eagle Pass,Texas,10169946,2018
174,Tornillo-Fabens,Texas,1151359,2018
175,El Paso,Texas,43778742,2018
176,Hidalgo,Texas,17303701,2018
177,Brownsville,Texas,18336697,2018
178,Presidio,Texas,2495846,2018
179,Laredo,Texas,25396401,2018
180,Opheim,Montana,9814,2018
181,Wildhorse,Montana,43993,2018
182,Scobey,Montana,16929,2018
183,Raymond,Montana,114325,2018
184,Del Bonita,Montana,86020,2018
185,Turner,Montana,27860,2018
186,Sweetgrass,Montana,922271,2018
187,Piegan,Montana,366590,2018
188,Whitlash,Montana,1688,2018
189,Morgan,Montana,18377,2018
190,Willow Creek,Montana,8216,2018
191,Roosville,Montana,486436,2018
192,Whitetail,Montana,0,2018
193,Lancaster,Minnesota,86180,2018
194,Roseau,Minnesota,114090,2018
195,Baudette,Minnesota,478001,2018
196,Grand Portage,Minnesota,668948,2018
197,Pinecreek,Minnesota,10808,2018
198,Warroad,Minnesota,301255,2018
199,International Falls-Ranier,Minnesota,1977900,2018
200,Noyes,Minnesota,0,2018
201,Derby Line,Vermont,1703718,2018
202,Beecher Falls,Vermont,200122,2018
203,Norton,Vermont,116061,2018
204,Highgate Springs-Alburg,Vermont,1815654,2018
205,Richford,Vermont,287879,2018
206,Lynden,Washington,1805013,2018
207,Oroville,Washington,642332,2018
208,Ferry,Washington,32430,2018
209,Metaline Falls,Washington,103264,2018
210,Blaine,Washington,13632952,2018
211,Frontier,Washington,172597,2018
212,Laurier,Washington,144795,2018
213,Boundary,Washington,100324,2018
214,Sumas,Washington,2935526,2018
215,Port Angeles,Washington,214136,2018
216,Danville,Washington,92217,2018
217,Nighthawk,Washington,15350,2018
218,Point Roberts,Washington,2594824,2018
219,Anacortes,Washington,89975,2018
220,Friday Harbor,Washington,9624,2018
221,Eastport,Idaho,541961,2018
222,Porthill,Idaho,355280,2018
223,Sault Sainte Marie,Michigan,2103600,2018
224,Port Huron,Michigan,6758067,2018
225,Detroit,Michigan,14148093,2018
226,Algonac,Michigan,45026,2018
227,Santa Teresa,New Mexico,2083662,2018
228,Columbus,New Mexico,1437127,2018
229,Skagway,Alaska,489975,2018
230,Ketchikan,Alaska,7967,2018
231,Alcan,Alaska,198750,2018
232,Dalton Cache,Alaska,63343,2018
233,Toledo-Sandusky,Ohio,373,2018
234,Calexico East,California,12163690,2017
235,Otay Mesa,California,27181889,2017
236,San Ysidro,California,45983570,2017
237,Tecate,California,3985503,2017
238,Calexico,California,16482156,2017
239,Andrade,California,2600148,2017
240,Cross Border Xpress,California,283263,2017
241,Van Buren,Maine,424196,2017
242,Madawaska,Maine,983547,2017
243,Vanceboro,Maine,87143,2017
244,Calais,Maine,2033991,2017
245,Houlton,Maine,895641,2017
246,Fort Fairfield,Maine,296986,2017
247,Bridgewater,Maine,138205,2017
248,Fort Kent,Maine,306067,2017
249,Jackman,Maine,604727,2017
250,Limestone,Maine,51383,2017
251,Eastport,Maine,379294,2017
252,Portland,Maine,23893,2017
253,Bar Harbor,Maine,0,2017
254,Nogales,Arizona,15807150,2017
255,Naco,Arizona,943482,2017
256,Sasabe,Arizona,69905,2017
257,Douglas,Arizona,5907149,2017
258,Lukeville,Arizona,1429434,2017
259,San Luis,Arizona,11680865,2017
260,Trout River,New York,498003,2017
261,Champlain-Rouses Point,New York,4338378,2017
262,Massena,New York,2404591,2017
263,Buffalo-Niagara Falls,New York,18208879,2017
264,Alexandria Bay,New York,2344455,2017
265,Ogdensburg,New York,951780,2017
266,Cape Vincent,New York,20169,2017
267,Pembina,North Dakota,1515594,2017
268,Portal,North Dakota,735432,2017
269,Neche,North Dakota,100509,2017
270,Sarles,North Dakota,13509,2017
271,Hansboro,North Dakota,22218,2017
272,Walhalla,North Dakota,114410,2017
273,Antler,North Dakota,26038,2017
274,Noonan,North Dakota,77107,2017
275,Westhope,North Dakota,44872,2017
276,Fortuna,North Dakota,42321,2017
277,Northgate,North Dakota,76984,2017
278,Sherwood,North Dakota,57824,2017
279,Ambrose,North Dakota,3183,2017
280,Dunseith,North Dakota,235405,2017
281,Carbury,North Dakota,39484,2017
282,Maida,North Dakota,22008,2017
283,St. John,North Dakota,35151,2017
284,Hannah,North Dakota,2929,2017
285,Progreso,Texas,4947116,2017
286,Roma,Texas,2618738,2017
287,Boquillas,Texas,10965,2017
288,Rio Grande City,Texas,1362382,2017
289,Del Rio,Texas,5175016,2017
290,Eagle Pass,Texas,9806208,2017
291,Tornillo-Fabens,Texas,1024806,2017
292,El Paso,Texas,43506839,2017
293,Hidalgo,Texas,17342098,2017
294,Brownsville,Texas,18301371,2017
295,Presidio,Texas,2255459,2017
296,Laredo,Texas,24041263,2017
297,Opheim,Montana,10443,2017
298,Wildhorse,Montana,49409,2017
299,Scobey,Montana,17986,2017
300,Raymond,Montana,113540,2017
301,Del Bonita,Montana,87005,2017
302,Turner,Montana,30909,2017
303,Sweetgrass,Montana,955810,2017
304,Piegan,Montana,372667,2017
305,Whitlash,Montana,2077,2017
306,Morgan,Montana,19577,2017
307,Willow Creek,Montana,3391,2017
308,Roosville,Montana,506376,2017
309,Whitetail,Montana,0,2017
310,Lancaster,Minnesota,90961,2017
311,Roseau,Minnesota,123588,2017
312,Baudette,Minnesota,480871,2017
313,Grand Portage,Minnesota,696566,2017
314,Pinecreek,Minnesota,11904,2017
315,Warroad,Minnesota,319508,2017
316,International Falls-Ranier,Minnesota,1936839,2017
317,Noyes,Minnesota,0,2017
318,Derby Line,Vermont,1723755,2017
319,Beecher Falls,Vermont,204559,2017
320,Norton,Vermont,119238,2017
321,Highgate Springs-Alburg,Vermont,1957812,2017
322,Richford,Vermont,303058,2017
323,Lynden,Washington,1580477,2017
324,Oroville,Washington,716525,2017
325,Ferry,Washington,29400,2017
326,Metaline Falls,Washington,93701,2017
327,Blaine,Washington,12975027,2017
328,Frontier,Washington,172190,2017
329,Laurier,Washington,139913,2017
330,Boundary,Washington,101211,2017
331,Sumas,Washington,2692366,2017
332,Port Angeles,Washington,211559,2017
333,Danville,Washington,98162,2017
334,Nighthawk,Washington,19111,2017
335,Point Roberts,Washington,2309121,2017
336,Anacortes,Washington,97227,2017
337,Friday Harbor,Washington,10123,2017
338,Eastport,Idaho,547256,2017
339,Porthill,Idaho,344353,2017
340,Sault Sainte Marie,Michigan,2053875,2017
341,Port Huron,Michigan,6813836,2017
342,Detroit,Michigan,14252718,2017
343,Algonac,Michigan,14338,2017
344,Santa Teresa,New Mexico,2360275,2017
345,Columbus,New Mexico,1432262,2017
346,Skagway,Alaska,454121,2017
347,Ketchikan,Alaska,8357,2017
348,Alcan,Alaska,179301,2017
349,Dalton Cache,Alaska,59851,2017
350,Toledo-Sandusky,Ohio,0,2017
351,Calexico East,California,11962231,2016
352,Otay Mesa,California,26706980,2016
353,San Ysidro,California,45376612,2016
354,Tecate,California,3666639,2016
355,Calexico,California,16449609,2016
356,Andrade,California,2420383,2016
357,Cross Border Xpress,California,0,2016
358,Van Buren,Maine,424063,2016
359,Madawaska,Maine,1006829,2016
360,Vanceboro,Maine,87596,2016
361,Calais,Maine,2054497,2016
362,Houlton,Maine,856306,2016
363,Fort Fairfield,Maine,306356,2016
364,Bridgewater,Maine,136289,2016
365,Fort Kent,Maine,329936,2016
366,Jackman,Maine,599429,2016
367,Limestone,Maine,55345,2016
368,Eastport,Maine,380439,2016
369,Portland,Maine,22528,2016
370,Bar Harbor,Maine,0,2016
371,Nogales,Arizona,14903980,2016
372,Naco,Arizona,896467,2016
373,Sasabe,Arizona,65341,2016
374,Douglas,Arizona,5469062,2016
375,Lukeville,Arizona,1302692,2016
376,San Luis,Arizona,11171167,2016
377,Trout River,New York,488213,2016
378,Champlain-Rouses Point,New York,4337542,2016
379,Massena,New York,2353437,2016
380,Buffalo-Niagara Falls,New York,17735730,2016
381,Alexandria Bay,New York,2301782,2016
382,Ogdensburg,New York,915095,2016
383,Cape Vincent,New York,21878,2016
384,Pembina,North Dakota,1475899,2016
385,Portal,North Dakota,668209,2016
386,Neche,North Dakota,107875,2016
387,Sarles,North Dakota,12951,2016
388,Hansboro,North Dakota,22819,2016
389,Walhalla,North Dakota,120275,2016
390,Antler,North Dakota,23110,2016
391,Noonan,North Dakota,82973,2016
392,Westhope,North Dakota,46162,2016
393,Fortuna,North Dakota,47766,2016
394,Northgate,North Dakota,70390,2016
395,Sherwood,North Dakota,60142,2016
396,Ambrose,North Dakota,3046,2016
397,Dunseith,North Dakota,230425,2016
398,Carbury,North Dakota,36350,2016
399,Maida,North Dakota,23374,2016
400,St. John,North Dakota,37248,2016
401,Hannah,North Dakota,2808,2016
402,Progreso,Texas,4934027,2016
403,Roma,Texas,2579556,2016
404,Boquillas,Texas,14099,2016
405,Rio Grande City,Texas,1363080,2016
406,Del Rio,Texas,4965171,2016
407,Eagle Pass,Texas,9644454,2016
408,Tornillo-Fabens,Texas,1000172,2016
409,El Paso,Texas,42171794,2016
410,Hidalgo,Texas,18216687,2016
411,Brownsville,Texas,17190592,2016
412,Presidio,Texas,2168198,2016
413,Laredo,Texas,25032087,2016
414,Opheim,Montana,10039,2016
415,Wildhorse,Montana,45592,2016
416,Scobey,Montana,18005,2016
417,Raymond,Montana,101187,2016
418,Del Bonita,Montana,85500,2016
419,Turner,Montana,30060,2016
420,Sweetgrass,Montana,973826,2016
421,Piegan,Montana,356792,2016
422,Whitlash,Montana,2037,2016
423,Morgan,Montana,18223,2016
424,Willow Creek,Montana,10008,2016
425,Roosville,Montana,536337,2016
426,Whitetail,Montana,0,2016
427,Lancaster,Minnesota,93689,2016
428,Roseau,Minnesota,127352,2016
