port,port_name,state,value,year
Andrade,Andrade,California,2596157,2018
Cross Border Xpress,Cross Border Xpress,California,1279074,2018
Van Buren,Van Buren,Maine,407391,2018
Madawaska,Madawaska,Maine,946013,2018
Vanceboro,Vanceboro,Maine,85679,2018
Calais,Calais,Maine,1932962,2018
Houlton,Houlton,Maine,849025,2018
Fort Fairfield,Fort Fairfield,Maine,276320,2018
Bridgewater,Bridgewater,Maine,128299,2018
Fort Kent,Fort Kent,Maine,302007,2018
Jackman,Jackman,Maine,601031,2018
Limestone,Limestone,Maine,46047,2018
Eastport,Eastport,Maine,376729,2018
Portland,Portland,Maine,32216,2018
Bar Harbor,Bar Harbor,Maine,0,2018
Nogales,Nogales,Arizona,15139737,2018
Naco,Naco,Arizona,1034864,2018
Sasabe,Sasabe,Arizona,72176,2018
Douglas,Douglas,Arizona,5756722,2018
Lukeville,Lukeville,Arizona,1522840,2018
San Luis,San Luis,Arizona,11810867,2018
Trout River,Trout River,New York,476762,2018
Champlain-Rouses Point,Champlain-Rouses Point,New York,4369090,2018
Massena,Massena,New York,2485147,2018
Buffalo-Niagara Falls,Buffalo-Niagara Falls,New York,18541241,2018
Alexandria Bay,Alexandria Bay,New York,2275133,2018
Ogdensburg,Ogdensburg,New York,935611,2018
Cape Vincent,Cape Vincent,New York,28738,2018
Pembina,Pembina,North Dakota,1499935,2018
Portal,Portal,North Dakota,734412,2018
Neche,Neche,North Dakota,116186,2018
Sarles,Sarles,North Dakota,13554,2018
Hansboro,Hansboro,North Dakota,20758,2018
Walhalla,Walhalla,North Dakota,119953,2018
Antler,Antler,North Dakota,27719,2018
Noonan,Noonan,North Dakota,74087,2018
Westhope,Westhope,North Dakota,42463,2018
Fortuna,Fortuna,North Dakota,44100,2018
Northgate,Northgate,North Dakota,74326,2018
Sherwood,Sherwood,North Dakota,55319,2018
Ambrose,Ambrose,North Dakota,3307,2018
Dunseith,Dunseith,North Dakota,227493,2018
Carbury,Carbury,North Dakota,41742,2018
Maida,Maida,North Dakota,23803,2018
St. John,St. John,North Dakota,36100,2018
Hannah,Hannah,North Dakota,2706,2018
Progreso,Progreso,Texas,5236568,2018
Roma,Roma,Texas,2546333,2018
Boquillas,Boquillas,Texas,11499,2018
Rio Grande City,Rio Grande City,Texas,1442371,2018
Del Rio,Del Rio,Texas,5124690,2018
Eagle Pass,Eagle Pass,Texas,10169946,2018
Tornillo-Fabens,Tornillo-Fabens,Texas,1151359,2018
El Paso,El Paso,Texas,43778742,2018
Hidalgo,Hidalgo,Texas,17303701,2018
Brownsville,Brownsville,Texas,18336697,2018
Presidio,Presidio,Texas,2495846,2018
Laredo,Laredo,Texas,25396401,2018
Opheim,Opheim,Montana,9814,2018
Wildhorse,Wildhorse,Montana,43993,2018
Scobey,Scobey,Montana,16929,2018
Raymond,Raymond,Montana,114325,2018
Del Bonita,Del Bonita,Montana,86020,2018
Turner,Turner,Montana,27860,2018
Sweetgrass,Sweetgrass,Montana,922271,2018
Piegan,Piegan,Montana,366590,2018
Whitlash,Whitlash,Montana,1688,2018
Morgan,Morgan,Montana,18377,2018
Willow Creek,Willow Creek,Montana,8216,2018
Roosville,Roosville,Montana,486436,2018
Whitetail,Whitetail,Montana,0,2018
Lancaster,Lancaster,Minnesota,86180,2018
Roseau,Roseau,Minnesota,114090,2018
Baudette,Baudette,Minnesota,478001,2018
Grand Portage,Grand Portage,Minnesota,668948,2018
Pinecreek,Pinecreek,Minnesota,10808,2018
Warroad,Warroad,Minnesota,301255,2018
International Falls-Ranier,International Falls-Ranier,Minnesota,1977900,2018
Noyes,Noyes,Minnesota,0,2018
Derby Line,Derby Line,Vermont,1703718,2018
Beecher Falls,Beecher Falls,Vermont,200122,2018
Norton,Norton,Vermont,116061,2018
Highgate Springs-Alburg,Highgate Springs-Alburg,Vermont,1815654,2018
Richford,Richford,Vermont,287879,2018
Lynden,Lynden,Washington,1805013,2018
Oroville,Oroville,Washington,642332,2018
Ferry,Ferry,Washington,32430,2018
Metaline Falls,Metaline Falls,Washington,103264,2018
Blaine,Blaine,Washington,13632952,2018
Frontier,Frontier,Washington,172597,2018
Laurier,Laurier,Washington,144795,2018
Boundary,Boundary,Washington,100324,2018
Sumas,Sumas,Washington,2935526,2018
Port Angeles,Port Angeles,Washington,214136,2018
Danville,Danville,Washington,92217,2018
Nighthawk,Nighthawk,Washington,15350,2018
Point Roberts,Point Roberts,Washington,2594824,2018
Anacortes,Anacortes,Washington,89975,2018
Friday Harbor,Friday Harbor,Washington,9624,2018
Eastport,Eastport,Idaho,541961,2018
Porthill,Porthill,Idaho,355280,2018
Sault Sainte Marie,Sault Sainte Marie,Michigan,2103600,2018
Port Huron,Port Huron,Michigan,6758067,2018
Detroit,Detroit,Michigan,14148093,2018
Algonac,Algonac,Michigan,45026,2018
Santa Teresa,Santa Teresa,New Mexico,2083662,2018
Columbus,Columbus,New Mexico,1437127,2018
Skagway,Skagway,Alaska,489975,2018
Ketchikan,Ketchikan,Alaska,7967,2018
