port,port_name,state,value,year
Sasabe,Sasabe,Arizona,50572,2014
Douglas,Douglas,Arizona,5484892,2014
Lukeville,Lukeville,Arizona,1017873,2014
San Luis,San Luis,Arizona,10914423,2014
Trout River,Trout River,New York,579676,2014
Champlain-Rouses Point,Champlain-Rouses Point,New York,4748167,2014
Massena,Massena,New York,2654947,2014
Buffalo-Niagara Falls,Buffalo-Niagara Falls,New York,20026091,2014
Alexandria Bay,Alexandria Bay,New York,2528781,2014
Ogdensburg,Ogdensburg,New York,1171359,2014
Cape Vincent,Cape Vincent,New York,17225,2014
Pembina,Pembina,North Dakota,1770683,2014
Portal,Portal,North Dakota,807521,2014
Neche,Neche,North Dakota,151044,2014
Sarles,Sarles,North Dakota,12990,2014
Hansboro,Hansboro,North Dakota,25815,2014
Walhalla,Walhalla,North Dakota,167592,2014
Antler,Antler,North Dakota,30843,2014
Noonan,Noonan,North Dakota,108758,2014
Westhope,Westhope,North Dakota,44259,2014
Fortuna,Fortuna,North Dakota,41386,2014
Northgate,Northgate,North Dakota,88615,2014
Sherwood,Sherwood,North Dakota,87899,2014
Ambrose,Ambrose,North Dakota,4335,2014
Dunseith,Dunseith,North Dakota,279528,2014
Carbury,Carbury,North Dakota,47571,2014
Maida,Maida,North Dakota,31924,2014
St. John,St. John,North Dakota,48285,2014
Hannah,Hannah,North Dakota,3981,2014
Progreso,Progreso,Texas,4701449,2014
Roma,Roma,Texas,2344252,2014
Boquillas,Boquillas,Texas,0,2014
Rio Grande City,Rio Grande City,Texas,1238463,2014
Del Rio,Del Rio,Texas,4423968,2014
Eagle Pass,Eagle Pass,Texas,8964662,2014
Tornillo-Fabens,Tornillo-Fabens,Texas,936008,2014
El Paso,El Paso,Texas,39200816,2014
Hidalgo,Hidalgo,Texas,17533220,2014
Brownsville,Brownsville,Texas,15628652,2014
Presidio,Presidio,Texas,1997753,2014
Laredo,Laredo,Texas,24375081,2014
Opheim,Opheim,Montana,12160,2014
Wildhorse,Wildhorse,Montana,58988,2014
Scobey,Scobey,Montana,23769,2014
Raymond,Raymond,Montana,116596,2014
Del Bonita,Del Bonita,Montana,96516,2014
Turner,Turner,Montana,37008,2014
Sweetgrass,Sweetgrass,Montana,1132442,2014
Piegan,Piegan,Montana,379138,2014
Whitlash,Whitlash,Montana,3815,2014
Morgan,Morgan,Montana,22343,2014
Willow Creek,Willow Creek,Montana,14465,2014
Roosville,Roosville,Montana,621867,2014
Whitetail,Whitetail,Montana,0,2014
Lancaster,Lancaster,Minnesota,121906,2014
Roseau,Roseau,Minnesota,135346,2014
Baudette,Baudette,Minnesota,484889,2014
Grand Portage,Grand Portage,Minnesota,904064,2014
Pinecreek,Pinecreek,Minnesota,17144,2014
Warroad,Warroad,Minnesota,347668,2014
International Falls-Ranier,International Falls-Ranier,Minnesota,1991123,2014
Noyes,Noyes,Minnesota,0,2014
Derby Line,Derby Line,Vermont,2135778,2014
Beecher Falls,Beecher Falls,Vermont,238453,2014
Norton,Norton,Vermont,213536,2014
Highgate Springs-Alburg,Highgate Springs-Alburg,Vermont,1915830,2014
Richford,Richford,Vermont,457751,2014
Lynden,Lynden,Washington,2244375,2014
Oroville,Oroville,Washington,891630,2014
Ferry,Ferry,Washington,29009,2014
Metaline Falls,Metaline Falls,Washington,102321,2014
Blaine,Blaine,Washington,15857876,2014
Frontier,Frontier,Washington,190218,2014
Laurier,Laurier,Washington,171767,2014
Boundary,Boundary,Washington,164697,2014
Sumas,Sumas,Washington,3564539,2014
Port Angeles,Port Angeles,Washington,190778,2014
Danville,Danville,Washington,131661,2014
Nighthawk,Nighthawk,Washington,24492,2014
Point Roberts,Point Roberts,Washington,2798692,2014
Anacortes,Anacortes,Washington,104031,2014
Friday Harbor,Friday Harbor,Washington,8707,2014
Eastport,Eastport,Idaho,602321,2014
Porthill,Porthill,Idaho,476281,2014
Sault Sainte Marie,Sault Sainte Marie,Michigan,2850119,2014
Port Huron,Port Huron,Michigan,7960945,2014
Detroit,Detroit,Michigan,14576514,2014
Algonac,Algonac,Michigan,0,2014
Santa Teresa,Santa Teresa,New Mexico,1909452,2014
Columbus,Columbus,New Mexico,1288973,2014
Skagway,Skagway,Alaska,413422,2014
Ketchikan,Ketchikan,Alaska,9519,2014
Alcan,Alcan,Alaska,136163,2014
Dalton Cache,Dalton Cache,Alaska,55079,2014
Toledo-Sandusky,Toledo-Sandusky,Ohio,0,2014
Calexico East,Calexico East,California,10179331,2013
Otay Mesa,Otay Mesa,California,22179950,2013
San Ysidro,San Ysidro,California,39543153,2013
Tecate,Tecate,California,3062824,2013
Calexico,Calexico,California,16038821,2013
Andrade,Andrade,California,2022060,2013
Cross Border Xpress,Cross Border Xpress,California,0,2013
Van Buren,Van Buren,Maine,702571,2013
Madawaska,Madawaska,Maine,1404127,2013
Vanceboro,Vanceboro,Maine,149295,2013
Calais,Calais,Maine,2711436,2013
Houlton,Houlton,Maine,1210976,2013
Fort Fairfield,Fort Fairfield,Maine,479224,2013
Bridgewater,Bridgewater,Maine,260308,2013
Fort Kent,Fort Kent,Maine,506738,2013
Jackman,Jackman,Maine,659200,2013
Limestone,Limestone,Maine,91705,2013
Eastport,Eastport,Maine,383799,2013
Portland,Portland,Maine,0,2013
Bar Harbor,Bar Harbor,Maine,0,2013
Nogales,Nogales,Arizona,13470044,2013
Naco,Naco,Arizona,883798,2013
Sasabe,Sasabe,Arizona,43066,2013
Douglas,Douglas,Arizona,6058066,2013
Lukeville,Lukeville,Arizona,958596,2013
San Luis,San Luis,Arizona,10418514,2013
Trout River,Trout River,New York,609963,2013
Champlain-Rouses Point,Champlain-Rouses Point,New York,4903689,2013
Massena,Massena,New York,2633320,2013
Buffalo-Niagara Falls,Buffalo-Niagara Falls,New York,21321999,2013
Alexandria Bay,Alexandria Bay,New York,2542129,2013
Ogdensburg,Ogdensburg,New York,1236962,2013
Cape Vincent,Cape Vincent,New York,27650,2013
Pembina,Pembina,North Dakota,1786744,2013
Portal,Portal,North Dakota,770071,2013
Neche,Neche,North Dakota,169422,2013
Sarles,Sarles,North Dakota,12386,2013
Hansboro,Hansboro,North Dakota,26927,2013
Walhalla,Walhalla,North Dakota,167214,2013
Antler,Antler,North Dakota,38192,2013
Noonan,Noonan,North Dakota,116954,2013
Westhope,Westhope,North Dakota,44738,2013
Fortuna,Fortuna,North Dakota,40371,2013
Northgate,Northgate,North Dakota,82690,2013
Sherwood,Sherwood,North Dakota,84944,2013
Ambrose,Ambrose,North Dakota,5270,2013
Dunseith,Dunseith,North Dakota,278085,2013
Carbury,Carbury,North Dakota,49528,2013
Maida,Maida,North Dakota,33997,2013
St. John,St. John,North Dakota,51972,2013
Hannah,Hannah,North Dakota,3958,2013
Progreso,Progreso,Texas,4382606,2013
Roma,Roma,Texas,2276532,2013
Boquillas,Boquillas,Texas,0,2013
Rio Grande City,Rio Grande City,Texas,1181207,2013
Del Rio,Del Rio,Texas,4139383,2013
Eagle Pass,Eagle Pass,Texas,8468973,2013
Tornillo-Fabens,Tornillo-Fabens,Texas,963232,2013
El Paso,El Paso,Texas,36307859,2013
Hidalgo,Hidalgo,Texas,17792901,2013
Brownsville,Brownsville,Texas,15394973,2013
Presidio,Presidio,Texas,1937360,2013
Laredo,Laredo,Texas,23314972,2013
Opheim,Opheim,Montana,12216,2013
Wildhorse,Wildhorse,Montana,64731,2013
Scobey,Scobey,Montana,23789,2013
Raymond,Raymond,Montana,117502,2013
Del Bonita,Del Bonita,Montana,89137,2013
Turner,Turner,Montana,38284,2013
Sweetgrass,Sweetgrass,Montana,1135356,2013
Piegan,Piegan,Montana,388592,2013
Whitlash,Whitlash,Montana,2106,2013
Morgan,Morgan,Montana,25125,2013
Willow Creek,Willow Creek,Montana,8917,2013
Roosville,Roosville,Montana,609796,2013
Whitetail,Whitetail,Montana,134,2013
Lancaster,Lancaster,Minnesota,132978,2013
Roseau,Roseau,Minnesota,131868,2013
Baudette,Baudette,Minnesota,491497,2013
Grand Portage,Grand Portage,Minnesota,938587,2013
Pinecreek,Pinecreek,Minnesota,17368,2013
Warroad,Warroad,Minnesota,356508,2013
International Falls-Ranier,International Falls-Ranier,Minnesota,1952805,2013
Noyes,Noyes,Minnesota,0,2013
Derby Line,Derby Line,Vermont,2194453,2013
Beecher Falls,Beecher Falls,Vermont,242963,2013
Norton,Norton,Vermont,239573,2013
Highgate Springs-Alburg,Highgate Springs-Alburg,Vermont,1929479,2013
Richford,Richford,Vermont,419562,2013
Lynden,Lynden,Washington,2505197,2013
Oroville,Oroville,Washington,941125,2013
Ferry,Ferry,Washington,34136,2013
Metaline Falls,Metaline Falls,Washington,101817,2013
Blaine,Blaine,Washington,15962289,2013
Frontier,Frontier,Washington,198585,2013
Laurier,Laurier,Washington,171114,2013
Boundary,Boundary,Washington,181505,2013
Sumas,Sumas,Washington,3790059,2013
Port Angeles,Port Angeles,Washington,249752,2013
Danville,Danville,Washington,147424,2013
Nighthawk,Nighthawk,Washington,27426,2013
Point Roberts,Point Roberts,Washington,2833737,2013
Anacortes,Anacortes,Washington,109684,2013
Friday Harbor,Friday Harbor,Washington,9085,2013
Eastport,Eastport,Idaho,572500,2013
Porthill,Porthill,Idaho,489651,2013
Sault Sainte Marie,Sault Sainte Marie,Michigan,3022095,2013
Port Huron,Port Huron,Michigan,8026057,2013
Detroit,Detroit,Michigan,15100733,2013
Algonac,Algonac,Michigan,0,2013
Santa Teresa,Santa Teresa,New Mexico,1742531,2013
Columbus,Columbus,New Mexico,1221475,2013
Skagway,Skagway,Alaska,403588,2013
Ketchikan,Ketchikan,Alaska,30625,2013
Alcan,Alcan,Alaska,113024,2013
Dalton Cache,Dalton Cache,Alaska,53123,2013
Toledo-Sandusky,Toledo-Sandusky,Ohio,0,2013
Calexico East,Calexico East,California,9627755,2012
Otay Mesa,Otay Mesa,California,19615896,2012
San Ysidro,San Ysidro,California,40213126,2012
Tecate,Tecate,California,3077580,2012
Calexico,Calexico,California,15937359,2012
Andrade,Andrade,California,2138004,2012
Cross Border Xpress,Cross Border Xpress,California,0,2012
Van Buren,Van Buren,Maine,753366,2012
Madawaska,Madawaska,Maine,1428427,2012
Vanceboro,Vanceboro,Maine,152702,2012
Calais,Calais,Maine,2910567,2012
Houlton,Houlton,Maine,1265557,2012
Fort Fairfield,Fort Fairfield,Maine,478473,2012
Bridgewater,Bridgewater,Maine,262686,2012
Fort Kent,Fort Kent,Maine,516601,2012
Jackman,Jackman,Maine,650855,2012
Limestone,Limestone,Maine,95658,2012
Eastport,Eastport,Maine,399124,2012
Portland,Portland,Maine,0,2012
Bar Harbor,Bar Harbor,Maine,0,2012
Nogales,Nogales,Arizona,12641522,2012
Naco,Naco,Arizona,844977,2012
Sasabe,Sasabe,Arizona,40927,2012
Douglas,Douglas,Arizona,5297078,2012
Lukeville,Lukeville,Arizona,893825,2012
San Luis,San Luis,Arizona,9832556,2012
Trout River,Trout River,New York,587834,2012
Champlain-Rouses Point,Champlain-Rouses Point,New York,4821666,2012
Massena,Massena,New York,2708839,2012
Buffalo-Niagara Falls,Buffalo-Niagara Falls,New York,22156209,2012
Alexandria Bay,Alexandria Bay,New York,2538056,2012
Ogdensburg,Ogdensburg,New York,1201436,2012
Cape Vincent,Cape Vincent,New York,28600,2012
Pembina,Pembina,North Dakota,1814080,2012
Portal,Portal,North Dakota,785520,2012
Neche,Neche,North Dakota,169353,2012
Sarles,Sarles,North Dakota,14624,2012
Hansboro,Hansboro,North Dakota,30146,2012
Walhalla,Walhalla,North Dakota,170502,2012
Antler,Antler,North Dakota,39432,2012
Noonan,Noonan,North Dakota,124217,2012
Westhope,Westhope,North Dakota,47143,2012
Fortuna,Fortuna,North Dakota,42741,2012
Northgate,Northgate,North Dakota,91350,2012
Sherwood,Sherwood,North Dakota,93199,2012
Ambrose,Ambrose,North Dakota,5646,2012
Dunseith,Dunseith,North Dakota,285761,2012
Carbury,Carbury,North Dakota,49706,2012
Maida,Maida,North Dakota,33629,2012
St. John,St. John,North Dakota,53138,2012
Hannah,Hannah,North Dakota,5484,2012
Progreso,Progreso,Texas,4020303,2012
Roma,Roma,Texas,2255019,2012
Boquillas,Boquillas,Texas,0,2012
Rio Grande City,Rio Grande City,Texas,1129921,2012
Del Rio,Del Rio,Texas,4042978,2012
Eagle Pass,Eagle Pass,Texas,8099141,2012
Tornillo-Fabens,Tornillo-Fabens,Texas,983739,2012
El Paso,El Paso,Texas,33474787,2012
Hidalgo,Hidalgo,Texas,17732509,2012
Brownsville,Brownsville,Texas,15191799,2012
Presidio,Presidio,Texas,1844484,2012
Laredo,Laredo,Texas,21395209,2012
Opheim,Opheim,Montana,15148,2012
Wildhorse,Wildhorse,Montana,63564,2012
Scobey,Scobey,Montana,22394,2012
Raymond,Raymond,Montana,117938,2012
Del Bonita,Del Bonita,Montana,78826,2012
Turner,Turner,Montana,36202,2012
Sweetgrass,Sweetgrass,Montana,1118513,2012
Piegan,Piegan,Montana,397944,2012
Whitlash,Whitlash,Montana,2603,2012
Morgan,Morgan,Montana,27000,2012
Willow Creek,Willow Creek,Montana,13249,2012
Roosville,Roosville,Montana,561040,2012
Whitetail,Whitetail,Montana,2796,2012
Lancaster,Lancaster,Minnesota,149803,2012
Roseau,Roseau,Minnesota,138170,2012
Baudette,Baudette,Minnesota,489725,2012
Grand Portage,Grand Portage,Minnesota,957380,2012
Pinecreek,Pinecreek,Minnesota,16844,2012
Warroad,Warroad,Minnesota,368239,2012
International Falls-Ranier,International Falls-Ranier,Minnesota,1936324,2012
Noyes,Noyes,Minnesota,0,2012
Derby Line,Derby Line,Vermont,2134176,2012
Beecher Falls,Beecher Falls,Vermont,244250,2012
Norton,Norton,Vermont,235681,2012
Highgate Springs-Alburg,Highgate Springs-Alburg,Vermont,1870751,2012
Richford,Richford,Vermont,406910,2012
Lynden,Lynden,Washington,2505196,2012
Oroville,Oroville,Washington,925933,2012
Ferry,Ferry,Washington,31802,2012
Metaline Falls,Metaline Falls,Washington,97493,2012
Blaine,Blaine,Washington,15100326,2012
Frontier,Frontier,Washington,189878,2012
Laurier,Laurier,Washington,166136,2012
Boundary,Boundary,Washington,177777,2012
Sumas,Sumas,Washington,3501464,2012
Port Angeles,Port Angeles,Washington,192433,2012
Danville,Danville,Washington,151738,2012
Nighthawk,Nighthawk,Washington,30021,2012
Point Roberts,Point Roberts,Washington,2734641,2012
Anacortes,Anacortes,Washington,107235,2012
Friday Harbor,Friday Harbor,Washington,8338,2012
Eastport,Eastport,Idaho,544660,2012
Porthill,Porthill,Idaho,484620,2012
Sault Sainte Marie,Sault Sainte Marie,Michigan,2985525,2012
Port Huron,Port Huron,Michigan,7788304,2012
Detroit,Detroit,Michigan,14964433,2012
Algonac,Algonac,Michigan,0,2012
Santa Teresa,Santa Teresa,New Mexico,1539739,2012
Columbus,Columbus,New Mexico,1129431,2012
Skagway,Skagway,Alaska,389666,2012
Ketchikan,Ketchikan,Alaska,11768,2012
Alcan,Alcan,Alaska,145361,2012
Dalton Cache,Dalton Cache,Alaska,51707,2012
Toledo-Sandusky,Toledo-Sandusky,Ohio,0,2012
Calexico East,Calexico East,California,8711024,2011
Otay Mesa,Otay Mesa,California,15892748,2011
San Ysidro,San Ysidro,California,42878634,2011
Tecate,Tecate,California,3026204,2011
Calexico,Calexico,California,15646294,2011
Andrade,Andrade,California,2009751,2011
Cross Border Xpress,Cross Border Xpress,California,0,2011
Van Buren,Van Buren,Maine,716159,2011
Madawaska,Madawaska,Maine,1417107,2011
Vanceboro,Vanceboro,Maine,144482,2011
Calais,Calais,Maine,2905544,2011
Houlton,Houlton,Maine,1236570,2011
Fort Fairfield,Fort Fairfield,Maine,471411,2011
Bridgewater,Bridgewater,Maine,251327,2011
Fort Kent,Fort Kent,Maine,509716,2011
Jackman,Jackman,Maine,613780,2011
Limestone,Limestone,Maine,97429,2011
Eastport,Eastport,Maine,409346,2011
Portland,Portland,Maine,0,2011
Bar Harbor,Bar Harbor,Maine,0,2011
Nogales,Nogales,Arizona,12271265,2011
Naco,Naco,Arizona,788218,2011
Sasabe,Sasabe,Arizona,46256,2011
Douglas,Douglas,Arizona,5112873,2011
Lukeville,Lukeville,Arizona,838937,2011
San Luis,San Luis,Arizona,8944103,2011
Trout River,Trout River,New York,574922,2011
Champlain-Rouses Point,Champlain-Rouses Point,New York,4539543,2011
Massena,Massena,New York,2655699,2011
Buffalo-Niagara Falls,Buffalo-Niagara Falls,New York,21634358,2011
Alexandria Bay,Alexandria Bay,New York,2482450,2011
Ogdensburg,Ogdensburg,New York,1087374,2011
Cape Vincent,Cape Vincent,New York,28713,2011
Pembina,Pembina,North Dakota,1664925,2011
Portal,Portal,North Dakota,640524,2011
Neche,Neche,North Dakota,170537,2011
Sarles,Sarles,North Dakota,13388,2011
Hansboro,Hansboro,North Dakota,29112,2011
Walhalla,Walhalla,North Dakota,166634,2011
Antler,Antler,North Dakota,34848,2011
Noonan,Noonan,North Dakota,111974,2011
Westhope,Westhope,North Dakota,49205,2011
Fortuna,Fortuna,North Dakota,42945,2011
Northgate,Northgate,North Dakota,105270,2011
Sherwood,Sherwood,North Dakota,94953,2011
Ambrose,Ambrose,North Dakota,4683,2011
Dunseith,Dunseith,North Dakota,266243,2011
Carbury,Carbury,North Dakota,46895,2011
Maida,Maida,North Dakota,26660,2011
St. John,St. John,North Dakota,50171,2011
Hannah,Hannah,North Dakota,4923,2011
Progreso,Progreso,Texas,3470188,2011
Roma,Roma,Texas,2102938,2011
Boquillas,Boquillas,Texas,0,2011
Rio Grande City,Rio Grande City,Texas,1052624,2011
Del Rio,Del Rio,Texas,3972880,2011
Eagle Pass,Eagle Pass,Texas,8152191,2011
Tornillo-Fabens,Tornillo-Fabens,Texas,953614,2011
El Paso,El Paso,Texas,32200871,2011
Hidalgo,Hidalgo,Texas,17153689,2011
Brownsville,Brownsville,Texas,14712887,2011
Presidio,Presidio,Texas,1889075,2011
Laredo,Laredo,Texas,21037888,2011
Opheim,Opheim,Montana,11603,2011
Wildhorse,Wildhorse,Montana,62097,2011
Scobey,Scobey,Montana,18112,2011
Raymond,Raymond,Montana,115019,2011
Del Bonita,Del Bonita,Montana,73048,2011
Turner,Turner,Montana,29159,2011
Sweetgrass,Sweetgrass,Montana,1051606,2011
Piegan,Piegan,Montana,373675,2011
Whitlash,Whitlash,Montana,2747,2011
Morgan,Morgan,Montana,25028,2011
Willow Creek,Willow Creek,Montana,16194,2011
Roosville,Roosville,Montana,517561,2011
Whitetail,Whitetail,Montana,2503,2011
Lancaster,Lancaster,Minnesota,175452,2011
Roseau,Roseau,Minnesota,134137,2011
Baudette,Baudette,Minnesota,494296,2011
Grand Portage,Grand Portage,Minnesota,958133,2011
Pinecreek,Pinecreek,Minnesota,16854,2011
Warroad,Warroad,Minnesota,368826,2011
International Falls-Ranier,International Falls-Ranier,Minnesota,1805473,2011
Noyes,Noyes,Minnesota,0,2011
Derby Line,Derby Line,Vermont,2047332,2011
Beecher Falls,Beecher Falls,Vermont,230099,2011
Norton,Norton,Vermont,217665,2011
Highgate Springs-Alburg,Highgate Springs-Alburg,Vermont,1816059,2011
Richford,Richford,Vermont,357694,2011
Lynden,Lynden,Washington,2209148,2011
Oroville,Oroville,Washington,851217,2011
Ferry,Ferry,Washington,28641,2011
Metaline Falls,Metaline Falls,Washington,97305,2011
Blaine,Blaine,Washington,13862520,2011
Frontier,Frontier,Washington,182845,2011
Laurier,Laurier,Washington,164125,2011
Boundary,Boundary,Washington,200906,2011
Sumas,Sumas,Washington,3259261,2011
Port Angeles,Port Angeles,Washington,191363,2011
Danville,Danville,Washington,157046,2011
Nighthawk,Nighthawk,Washington,32536,2011
Point Roberts,Point Roberts,Washington,2547145,2011
Anacortes,Anacortes,Washington,106377,2011
Friday Harbor,Friday Harbor,Washington,9077,2011
Eastport,Eastport,Idaho,533131,2011
Porthill,Porthill,Idaho,509732,2011
Sault Sainte Marie,Sault Sainte Marie,Michigan,2870851,2011
Port Huron,Port Huron,Michigan,7405117,2011
Detroit,Detroit,Michigan,14673981,2011
Algonac,Algonac,Michigan,0,2011
Santa Teresa,Santa Teresa,New Mexico,1601348,2011
Columbus,Columbus,New Mexico,1074589,2011
Skagway,Skagway,Alaska,359169,2011
Ketchikan,Ketchikan,Alaska,11693,2011
Alcan,Alcan,Alaska,149323,2011
Dalton Cache,Dalton Cache,Alaska,52210,2011
Toledo-Sandusky,Toledo-Sandusky,Ohio,0,2011
Calexico East,Calexico East,California,8506001,2010
Otay Mesa,Otay Mesa,California,14884003,2010
San Ysidro,San Ysidro,California,44009770,2010
Tecate,Tecate,California,2968965,2010
Calexico,Calexico,California,16211597,2010
Andrade,Andrade,California,2080664,2010
Cross Border Xpress,Cross Border Xpress,California,0,2010
Van Buren,Van Buren,Maine,681246,2010
Madawaska,Madawaska,Maine,1567665,2010
Vanceboro,Vanceboro,Maine,137841,2010
Calais,Calais,Maine,2784993,2010
Houlton,Houlton,Maine,1266975,2010
Fort Fairfield,Fort Fairfield,Maine,430247,2010
Bridgewater,Bridgewater,Maine,182612,2010
Fort Kent,Fort Kent,Maine,525636,2010
Jackman,Jackman,Maine,743724,2010
Limestone,Limestone,Maine,89883,2010
Eastport,Eastport,Maine,406761,2010
Portland,Portland,Maine,0,2010
Bar Harbor,Bar Harbor,Maine,0,2010
Nogales,Nogales,Arizona,14154653,2010
Naco,Naco,Arizona,859318,2010
Sasabe,Sasabe,Arizona,60277,2010
Douglas,Douglas,Arizona,5486229,2010
Lukeville,Lukeville,Arizona,1059339,2010
San Luis,San Luis,Arizona,8408264,2010
Trout River,Trout River,New York,558914,2010
Champlain-Rouses Point,Champlain-Rouses Point,New York,4330604,2010
Massena,Massena,New York,2652246,2010
Buffalo-Niagara Falls,Buffalo-Niagara Falls,New York,20370752,2010
Alexandria Bay,Alexandria Bay,New York,2569185,2010
Ogdensburg,Ogdensburg,New York,976289,2010
Cape Vincent,Cape Vincent,New York,28235,2010
Pembina,Pembina,North Dakota,1546556,2010
Portal,Portal,North Dakota,693207,2010
Neche,Neche,North Dakota,176224,2010
Sarles,Sarles,North Dakota,14797,2010
Hansboro,Hansboro,North Dakota,35202,2010
Walhalla,Walhalla,North Dakota,155933,2010
Antler,Antler,North Dakota,36618,2010
Noonan,Noonan,North Dakota,105161,2010
Westhope,Westhope,North Dakota,52906,2010
Fortuna,Fortuna,North Dakota,40848,2010
Northgate,Northgate,North Dakota,124914,2010
Sherwood,Sherwood,North Dakota,76423,2010
Ambrose,Ambrose,North Dakota,5375,2010
Dunseith,Dunseith,North Dakota,268682,2010
Carbury,Carbury,North Dakota,45213,2010
Maida,Maida,North Dakota,31286,2010
St. John,St. John,North Dakota,70566,2010
Hannah,Hannah,North Dakota,5974,2010
Progreso,Progreso,Texas,2699139,2010
Roma,Roma,Texas,2257891,2010
Boquillas,Boquillas,Texas,0,2010
Rio Grande City,Rio Grande City,Texas,1081653,2010
Del Rio,Del Rio,Texas,3818783,2010
Eagle Pass,Eagle Pass,Texas,9732371,2010
Tornillo-Fabens,Tornillo-Fabens,Texas,1116698,2010
El Paso,El Paso,Texas,36731815,2010
Hidalgo,Hidalgo,Texas,19791437,2010
Brownsville,Brownsville,Texas,16814487,2010
Presidio,Presidio,Texas,2885317,2010
Laredo,Laredo,Texas,23744719,2010
Opheim,Opheim,Montana,10820,2010
Wildhorse,Wildhorse,Montana,56415,2010
Scobey,Scobey,Montana,15249,2010
Raymond,Raymond,Montana,109390,2010
Del Bonita,Del Bonita,Montana,69976,2010
Turner,Turner,Montana,28670,2010
Sweetgrass,Sweetgrass,Montana,1152944,2010
Piegan,Piegan,Montana,369588,2010
Whitlash,Whitlash,Montana,2377,2010
Morgan,Morgan,Montana,24098,2010
Willow Creek,Willow Creek,Montana,14836,2010
Roosville,Roosville,Montana,461876,2010
Whitetail,Whitetail,Montana,3183,2010
Lancaster,Lancaster,Minnesota,141703,2010
Roseau,Roseau,Minnesota,141179,2010
Baudette,Baudette,Minnesota,593197,2010
Grand Portage,Grand Portage,Minnesota,874156,2010
Pinecreek,Pinecreek,Minnesota,15609,2010
Warroad,Warroad,Minnesota,416703,2010
International Falls-Ranier,International Falls-Ranier,Minnesota,1899019,2010
Noyes,Noyes,Minnesota,0,2010
Derby Line,Derby Line,Vermont,1934501,2010
Beecher Falls,Beecher Falls,Vermont,216815,2010
Norton,Norton,Vermont,197951,2010
Highgate Springs-Alburg,Highgate Springs-Alburg,Vermont,1860319,2010
Richford,Richford,Vermont,386665,2010
Lynden,Lynden,Washington,2060653,2010
Oroville,Oroville,Washington,1029552,2010
Ferry,Ferry,Washington,28443,2010
Metaline Falls,Metaline Falls,Washington,93689,2010
Blaine,Blaine,Washington,11506851,2010
Frontier,Frontier,Washington,171911,2010
Laurier,Laurier,Washington,159084,2010
Boundary,Boundary,Washington,182657,2010
Sumas,Sumas,Washington,2823166,2010
Port Angeles,Port Angeles,Washington,196037,2010
Danville,Danville,Washington,142347,2010
Nighthawk,Nighthawk,Washington,33091,2010
Point Roberts,Point Roberts,Washington,2419051,2010
Anacortes,Anacortes,Washington,110733,2010
Friday Harbor,Friday Harbor,Washington,10850,2010
Eastport,Eastport,Idaho,511031,2010
Porthill,Porthill,Idaho,518391,2010
Sault Sainte Marie,Sault Sainte Marie,Michigan,2618142,2010
Port Huron,Port Huron,Michigan,6883289,2010
Detroit,Detroit,Michigan,14614819,2010
Algonac,Algonac,Michigan,0,2010
Santa Teresa,Santa Teresa,New Mexico,2088982,2010
Columbus,Columbus,New Mexico,1324522,2010
Skagway,Skagway,Alaska,342990,2010
Ketchikan,Ketchikan,Alaska,13650,2010
Alcan,Alcan,Alaska,154783,2010
Dalton Cache,Dalton Cache,Alaska,57500,2010
Toledo-Sandusky,Toledo-Sandusky,Ohio,0,2010
Calexico East,Calexico East,California,9321370,2009
Otay Mesa,Otay Mesa,California,15729359,2009
San Ysidro,San Ysidro,California,44003475,2009
Tecate,Tecate,California,3109392,2009
Calexico,Calexico,California,17370563,2009
Andrade,Andrade,California,2851344,2009
Cross Border Xpress,Cross Border Xpress,California,0,2009
Van Buren,Van Buren,Maine,634990,2009
Madawaska,Madawaska,Maine,1530066,2009
Vanceboro,Vanceboro,Maine,128580,2009
Calais,Calais,Maine,2377917,2009
Houlton,Houlton,Maine,1135415,2009
Fort Fairfield,Fort Fairfield,Maine,400892,2009
Bridgewater,Bridgewater,Maine,148130,2009
Fort Kent,Fort Kent,Maine,490060,2009
Jackman,Jackman,Maine,646757,2009
Limestone,Limestone,Maine,96945,2009
Eastport,Eastport,Maine,396127,2009
Portland,Portland,Maine,24390,2009
Bar Harbor,Bar Harbor,Maine,11336,2009
Nogales,Nogales,Arizona,15446506,2009
Naco,Naco,Arizona,1025701,2009
Sasabe,Sasabe,Arizona,96451,2009
Douglas,Douglas,Arizona,6787812,2009
Lukeville,Lukeville,Arizona,1517397,2009
San Luis,San Luis,Arizona,9105191,2009
Trout River,Trout River,New York,632908,2009
Champlain-Rouses Point,Champlain-Rouses Point,New York,4207503,2009
Massena,Massena,New York,2447084,2009
Buffalo-Niagara Falls,Buffalo-Niagara Falls,New York,20089110,2009
Alexandria Bay,Alexandria Bay,New York,2580614,2009
Ogdensburg,Ogdensburg,New York,904961,2009
Cape Vincent,Cape Vincent,New York,28364,2009
Pembina,Pembina,North Dakota,1294980,2009
Portal,Portal,North Dakota,590794,2009
Neche,Neche,North Dakota,156691,2009
Sarles,Sarles,North Dakota,16154,2009
Hansboro,Hansboro,North Dakota,34151,2009
Walhalla,Walhalla,North Dakota,131217,2009
Antler,Antler,North Dakota,32070,2009
Noonan,Noonan,North Dakota,94784,2009
Westhope,Westhope,North Dakota,48692,2009
Fortuna,Fortuna,North Dakota,37595,2009
Northgate,Northgate,North Dakota,115370,2009
